full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/ossec/var/selinux/assetguard.pp,root,assetguard,640,file,-rw-r-----,3219,0.1
/var/ossec/bin/assetguard-syscheckd,root,root,750,file,-rwxr-x---,1097644,0.1
/var/ossec/bin/assetguard-execd,root,root,750,file,-rwxr-x---,958152,0.1
/var/ossec/bin/assetguard-logcollector,root,root,750,file,-rwxr-x---,1055440,0.1
/var/ossec/bin/assetguard-control,root,root,750,file,-rwxr-x---,9067,0.1
/var/ossec/bin/manage_agents,root,root,750,file,-rwxr-x---,236032,0.1
/var/ossec/bin/assetguard-modulesd,root,root,750,file,-rwxr-x---,916748,0.1
/var/ossec/bin/assetguard-agentd,root,root,750,file,-rwxr-x---,1011784,0.1
/var/ossec/lib/libassetguardext.so,root,assetguard,750,file,-rwxr-x---,12358288,0.1
/var/ossec/lib/libdbsync.so,root,assetguard,750,file,-rwxr-x---,525380,0.1
/var/ossec/lib/libagent_sync_protocol.so,root,assetguard,750,file,-rwxr-x---,216020,0.1
/var/ossec/lib/libschema_validator.so,root,assetguard,750,file,-rwxr-x---,426324,0.1
/var/ossec/lib/libsysinfo.so,root,assetguard,750,file,-rwxr-x---,2792476,0.1
/var/ossec/lib/libfimdb.so,root,assetguard,750,file,-rwxr-x---,273712,0.1
/var/ossec/lib/libbpf.so,root,assetguard,750,file,-rwxr-x---,470148,0.1
/var/ossec/lib/libfimebpf.so,root,assetguard,750,file,-rwxr-x---,47248,0.1
/var/ossec/lib/modern.bpf.o,root,assetguard,750,file,-rwxr-x---,904752,0.1
/var/ossec/lib/libstdc++.so.6,root,assetguard,750,file,-rwxr-x---,2123404,0.1
/var/ossec/lib/libsyscollector.so,root,assetguard,750,file,-rwxr-x---,911196,0.1
/var/ossec/lib/libsca.so,root,assetguard,750,file,-rwxr-x---,836900,0.1
/var/ossec/lib/libagent_info.so,root,assetguard,750,file,-rwxr-x---,402688,0.1
/var/ossec/lib/libagent_metadata.so,root,assetguard,750,file,-rwxr-x---,8816,0.1
/var/ossec/lib/libgcc_s.so.1,root,assetguard,750,file,-rwxr-x---,118632,0.1
/var/ossec/etc/internal_options.conf,root,assetguard,640,file,-rw-r-----,14600,0.1
/var/ossec/etc/wpk_root.pem,root,assetguard,640,file,-rw-r-----,1367,0.1
/var/ossec/etc/localtime,root,root,640,file,-rw-r-----,118,0.1
/var/ossec/etc/client.keys,root,assetguard,640,file,-rw-r-----,0,0.1
/var/ossec/etc/ossec.conf,root,assetguard,640,file,-rw-r-----,4566,0.1
/var/ossec/etc/local_internal_options.conf,root,assetguard,640,file,-rw-r-----,320,0.1
/var/ossec/active-response/bin/firewalld-drop,root,assetguard,750,file,-rwxr-x---,153752,0.1
/var/ossec/active-response/bin/host-deny,root,assetguard,750,file,-rwxr-x---,154300,0.1
/var/ossec/active-response/bin/kaspersky,root,assetguard,750,file,-rwxr-x---,152112,0.1
/var/ossec/active-response/bin/firewall-drop,root,assetguard,750,file,-rwxr-x---,154120,0.1
/var/ossec/active-response/bin/ipfw,root,assetguard,750,file,-rwxr-x---,153744,0.1
/var/ossec/active-response/bin/restart-assetguard,root,assetguard,750,file,-rwxr-x---,151748,0.1
/var/ossec/active-response/bin/default-firewall-drop,root,assetguard,750,file,-rwxr-x---,154128,0.1
/var/ossec/active-response/bin/assetguard-slack,root,assetguard,750,file,-rwxr-x---,153960,0.1
/var/ossec/active-response/bin/ip-customblock,root,assetguard,750,file,-rwxr-x---,153756,0.1
/var/ossec/active-response/bin/restart.sh,root,assetguard,750,file,-rwxr-x---,1890,0.1
/var/ossec/active-response/bin/pf,root,assetguard,750,file,-rwxr-x---,154560,0.1
/var/ossec/active-response/bin/npf,root,assetguard,750,file,-rwxr-x---,153740,0.1
/var/ossec/active-response/bin/disable-account,root,assetguard,750,file,-rwxr-x---,153752,0.1
/var/ossec/active-response/bin/kaspersky.py,root,assetguard,750,file,-rwxr-x---,14491,0.1
/var/ossec/active-response/bin/route-null,root,assetguard,750,file,-rwxr-x---,153748,0.1
/var/ossec/logs/active-responses.log,assetguard,assetguard,660,file,-rw-rw----,0,0.1
/var/ossec/logs/ossec.log,root,assetguard,660,file,-rw-rw----,0,0.1
/var/ossec/queue/syscollector/norm_config.json,root,assetguard,640,file,-rw-r-----,4206,0.1
/var/ossec/ruleset/sca/cis_debian7.yml,root,assetguard,640,file,-rw-r-----,243702,0.1
/var/ossec/VERSION.json,root,assetguard,440,file,-r--r-----,79,0.1
/var/ossec/wodles/utils.py,root,assetguard,750,file,-rwxr-x---,3567,0.1
/var/ossec/wodles/__init__.py,root,assetguard,750,file,-rwxr-x---,177,0.1
/var/ossec/wodles/gcloud/tools.py,root,assetguard,750,file,-rwxr-x---,4420,0.1
/var/ossec/wodles/gcloud/gcloud,root,assetguard,750,file,-rwxr-x---,4741,0.1
/var/ossec/wodles/gcloud/exceptions.py,root,assetguard,750,file,-rwxr-x---,4704,0.1
/var/ossec/wodles/gcloud/integration.py,root,assetguard,750,file,-rwxr-x---,3119,0.1
/var/ossec/wodles/gcloud/pubsub/subscriber.py,root,assetguard,750,file,-rwxr-x---,6085,0.1
/var/ossec/wodles/gcloud/buckets/bucket.py,root,assetguard,750,file,-rwxr-x---,12735,0.1
/var/ossec/wodles/gcloud/buckets/access_logs.py,root,assetguard,750,file,-rwxr-x---,1870,0.1
/var/ossec/wodles/aws/aws_tools.py,root,assetguard,750,file,-rwxr-x---,17341,0.1
/var/ossec/wodles/aws/aws-s3,root,assetguard,750,file,-rwxr-x---,10237,0.1
/var/ossec/wodles/aws/assetguard_integration.py,root,assetguard,750,file,-rwxr-x---,23023,0.1
/var/ossec/wodles/aws/__init__.py,root,assetguard,750,file,-rwxr-x---,177,0.1
/var/ossec/wodles/aws/buckets_s3/load_balancers.py,root,assetguard,750,file,-rwxr-x---,5729,0.1
/var/ossec/wodles/aws/buckets_s3/__init__.py,root,assetguard,750,file,-rwxr-x---,640,0.1
/var/ossec/wodles/aws/buckets_s3/aws_bucket.py,root,assetguard,750,file,-rwxr-x---,42403,0.1
/var/ossec/wodles/aws/buckets_s3/cloudtrail.py,root,assetguard,750,file,-rwxr-x---,1889,0.1
/var/ossec/wodles/aws/buckets_s3/guardduty.py,root,assetguard,750,file,-rwxr-x---,4356,0.1
/var/ossec/wodles/aws/buckets_s3/vpcflow.py,root,assetguard,750,file,-rwxr-x---,11323,0.1
/var/ossec/wodles/aws/buckets_s3/server_access.py,root,assetguard,750,file,-rwxr-x---,9261,0.1
/var/ossec/wodles/aws/buckets_s3/umbrella.py,root,assetguard,750,file,-rwxr-x---,2841,0.1
/var/ossec/wodles/aws/buckets_s3/config.py,root,assetguard,750,file,-rwxr-x---,10519,0.1
/var/ossec/wodles/aws/buckets_s3/waf.py,root,assetguard,750,file,-rwxr-x---,3012,0.1
/var/ossec/wodles/aws/services/__init__.py,root,assetguard,750,file,-rwxr-x---,344,0.1
/var/ossec/wodles/aws/services/cloudwatchlogs.py,root,assetguard,750,file,-rwxr-x---,24992,0.1
/var/ossec/wodles/aws/services/inspector.py,root,assetguard,750,file,-rwxr-x---,10084,0.1
/var/ossec/wodles/aws/services/aws_service.py,root,assetguard,750,file,-rwxr-x---,6222,0.1
/var/ossec/wodles/aws/subscribers/sqs_message_processor.py,root,assetguard,750,file,-rwxr-x---,1825,0.1
/var/ossec/wodles/aws/subscribers/__init__.py,root,assetguard,750,file,-rwxr-x---,380,0.1
/var/ossec/wodles/aws/subscribers/sqs_queue.py,root,assetguard,750,file,-rwxr-x---,6217,0.1
/var/ossec/wodles/aws/subscribers/s3_log_handler.py,root,assetguard,750,file,-rwxr-x---,14729,0.1
/var/ossec/wodles/docker/DockerListener,root,assetguard,750,file,-rwxr-x---,5111,0.1
/var/ossec/wodles/azure/azure-logs,root,assetguard,750,file,-rwxr-x---,1466,0.1
/var/ossec/wodles/azure/azure_utils.py,root,assetguard,750,file,-rwxr-x---,13823,0.1
/var/ossec/wodles/azure/db/utils.py,root,assetguard,750,file,-rwxr-x---,4014,0.1
/var/ossec/wodles/azure/db/orm.py,root,assetguard,750,file,-rwxr-x---,10600,0.1
/var/ossec/wodles/azure/db/__init__.py,root,assetguard,750,file,-rwxr-x---,0,0.1
/var/ossec/wodles/azure/azure_services/analytics.py,root,assetguard,750,file,-rwxr-x---,8961,0.1
/var/ossec/wodles/azure/azure_services/__init__.py,root,assetguard,750,file,-rwxr-x---,0,0.1
/var/ossec/wodles/azure/azure_services/graph.py,root,assetguard,750,file,-rwxr-x---,7635,0.1
/var/ossec/wodles/azure/azure_services/storage.py,root,assetguard,750,file,-rwxr-x---,11550,0.1
